sample_id,machine_id,model,machine_type,component,sample_date,smu_hours,oil_hours,lab_severity,fe_ppm,cu_ppm,cr_ppm,pb_ppm,al_ppm,si_ppm,na_ppm,k_ppm,water_pct,fuel_pct,glycol_pct,soot_pct,visc40,oxidation,nitration,tbn,pq_index,days_to_next_cm,days_since_last_cm,prior_cm_365d,label,censored,post_repair,days_since_prev_sample,hours_since_prev_sample,sample_seq,fe_ppm__delta,fe_ppm__pct_change,fe_ppm__per100h,fe_ppm__vs_own_med,fe_ppm__slope3,cu_ppm__delta,cu_ppm__pct_change,cu_ppm__per100h,cu_ppm__vs_own_med,cu_ppm__slope3,cr_ppm__delta,cr_ppm__pct_change,cr_ppm__per100h,cr_ppm__vs_own_med,cr_ppm__slope3,pb_ppm__delta,pb_ppm__pct_change,pb_ppm__per100h,pb_ppm__vs_own_med,pb_ppm__slope3,al_ppm__delta,al_ppm__pct_change,al_ppm__per100h,al_ppm__vs_own_med,al_ppm__slope3,si_ppm__delta,si_ppm__pct_change,si_ppm__per100h,si_ppm__vs_own_med,si_ppm__slope3,na_ppm__delta,na_ppm__pct_change,na_ppm__per100h,na_ppm__vs_own_med,na_ppm__slope3,k_ppm__delta,k_ppm__pct_change,k_ppm__per100h,k_ppm__vs_own_med,k_ppm__slope3,water_pct__delta,water_pct__pct_change,water_pct__per100h,water_pct__vs_own_med,water_pct__slope3,fuel_pct__delta,fuel_pct__pct_change,fuel_pct__per100h,fuel_pct__vs_own_med,fuel_pct__slope3,glycol_pct__delta,glycol_pct__pct_change,glycol_pct__per100h,glycol_pct__vs_own_med,glycol_pct__slope3,soot_pct__delta,soot_pct__pct_change,soot_pct__per100h,soot_pct__vs_own_med,soot_pct__slope3,visc40__delta,visc40__pct_change,visc40__per100h,visc40__vs_own_med,visc40__slope3,oxidation__delta,oxidation__pct_change,oxidation__per100h,oxidation__vs_own_med,oxidation__slope3,nitration__delta,nitration__pct_change,nitration__per100h,nitration__vs_own_med,nitration__slope3,tbn__delta,tbn__pct_change,tbn__per100h,tbn__vs_own_med,tbn__slope3,pq_index__delta,pq_index__pct_change,pq_index__per100h,pq_index__vs_own_med,pq_index__slope3,fe_ppm__peer_z,cu_ppm__peer_z,cr_ppm__peer_z,pb_ppm__peer_z,al_ppm__peer_z,si_ppm__peer_z,na_ppm__peer_z,k_ppm__peer_z,water_pct__peer_z,fuel_pct__peer_z,glycol_pct__peer_z,soot_pct__peer_z,visc40__peer_z,oxidation__peer_z,nitration__peer_z,tbn__peer_z,pq_index__peer_z,fe_per_oil_hour,si_to_fe,cu_to_fe,lab_severity_num
390896226,120-000053,988F_CAT,CATERPILLAR,DIFF_FR,2025-12-30,12655,128.0,ACTION,65.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5078125,0.07692307692307693,0.06153846153846154,2
390896219,120-000053,988F_CAT,CATERPILLAR,FD_FR_LT,2025-12-30,12655,128.0,ACTION,65.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5078125,0.07692307692307693,0.06153846153846154,2
390896222,120-000053,988F_CAT,CATERPILLAR,FD_FR_RT,2025-12-30,12655,128.0,ACTION,65.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5078125,0.07692307692307693,0.06153846153846154,2
390744387,120-000378,988G_CAT,CATERPILLAR,DIFF_RR,2025-12-15,25186,250.0,ACTION,65.0,4.0,0.0,0.0,15.0,25.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.38461538461538464,0.06153846153846154,2
390744392,120-000378,988G_CAT,CATERPILLAR,WH_FR_LT,2025-12-15,25186,250.0,ACTION,65.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.07692307692307693,0.06153846153846154,2
390744388,120-000378,988G_CAT,CATERPILLAR,WH_FR_RT,2025-12-15,25186,250.0,ACTION,65.0,4.0,0.0,0.0,3.0,5.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.07692307692307693,0.06153846153846154,2
390744386,120-000378,988G_CAT,CATERPILLAR,WH_RR_LT,2025-12-15,25186,250.0,ACTION,65.0,4.0,0.0,0.0,15.0,25.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.38461538461538464,0.06153846153846154,2
390744385,120-000378,988G_CAT,CATERPILLAR,WH_RR_RT,2025-12-15,25186,250.0,ACTION,65.0,4.0,0.0,0.0,15.0,25.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9999.0,0.0,1,False,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.38461538461538464,0.06153846153846154,2
