machine_id,machine_type,model,component,sample_date,smu_hours,oil_hours,lab_severity,risk_30d,risk_60d,risk_90d,total_failure_cost_usd,expected_cost_at_risk_usd,action_priority,recommended_action
120-000378,CATERPILLAR,988G_CAT,DIFF_RR,2025-12-15,25186,250.0,ACTION,0.398,0.6884,0.8499,20000.0,7960.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000378,CATERPILLAR,988G_CAT,WH_RR_LT,2025-12-15,25186,250.0,ACTION,0.398,0.6884,0.8499,20000.0,7960.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000378,CATERPILLAR,988G_CAT,WH_RR_RT,2025-12-15,25186,250.0,ACTION,0.398,0.6884,0.8499,20000.0,7960.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000378,CATERPILLAR,988G_CAT,WH_FR_LT,2025-12-15,25186,250.0,ACTION,0.3608,0.6423,0.8122,20000.0,7216.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000378,CATERPILLAR,988G_CAT,WH_FR_RT,2025-12-15,25186,250.0,ACTION,0.3608,0.6423,0.8122,20000.0,7216.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000053,CATERPILLAR,988F_CAT,DIFF_FR,2025-12-30,12655,128.0,ACTION,0.3608,0.6423,0.8122,20000.0,7216.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000053,CATERPILLAR,988F_CAT,FD_FR_LT,2025-12-30,12655,128.0,ACTION,0.3608,0.6423,0.8122,20000.0,7216.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
120-000053,CATERPILLAR,988F_CAT,FD_FR_RT,2025-12-30,12655,128.0,ACTION,0.3608,0.6423,0.8122,20000.0,7216.0,P2_PLANNED_MAINTENANCE,Inspect at next scheduled service interval
